neighborhood,avg of reviews,avg of overall_satisfaction,avg of price,max of reviews,min of reviews,max of price,min of price
Allston,10.31400966183575,4.670454545454546,100.01932367149759,118,0,550.0,20.0
Back Bay,11.296819787985866,4.649390243902439,237.51590106007066,283,0,1372.0,41.0
Bay Village,10.947368421052632,4.5,254.1578947368421,47,0,1200.0,81.0
Beacon Hill,17.8,4.615942028985507,215.90731707317073,214,0,849.0,42.0
Brighton,13.25,4.681318681318682,113.95555555555555,152,0,999.0,10.0
Charlestown,24.43076923076923,4.813953488372093,228.53846153846155,198,0,1000.0,55.0
Chinatown,11.909090909090908,4.678571428571429,254.92727272727274,172,0,600.0,92.0
Dorchester,25.0,4.537267080745342,91.575,262,0,395.0,30.0
Downtown,14.671052631578947,4.666666666666667,241.18421052631578,188,0,1000.0,38.0
East Boston,28.53174603174603,4.568421052631579,115.48412698412699,281,0,300.0,35.0
Fenway,8.094594594594595,4.59349593495935,218.77027027027026,223,0,4000.0,25.0
Hyde Park,9.615384615384615,4.714285714285714,92.57692307692308,53,0,250.0,40.0
Jamaica Plain,22.406349206349205,4.766666666666667,140.41587301587302,244,0,675.0,24.0
Leather District,9.125,5.0,342.75,27,0,571.0,159.0
Longwood Medical Area,52.333333333333336,4.625,99.33333333333333,115,0,149.0,60.0
Mattapan,14.4,4.5,78.65,69,0,169.0,44.0
Mission Hill,11.346534653465346,4.523809523809524,132.16831683168317,385,0,872.0,27.0
North End,25.401515151515152,4.6722222222222225,183.13636363636363,249,0,600.0,35.0
Roslindale,26.696428571428573,4.855555555555555,94.60714285714286,147,0,250.0,40.0
Roxbury,22.802721088435373,4.595,148.3673469387755,154,0,1400.0,28.0
South Boston,19.830065359477125,4.729591836734694,189.55555555555554,192,0,1000.0,47.0
South Boston Waterfront,6.36231884057971,4.739130434782608,337.463768115942,85,0,3000.0,95.0
South End,14.725609756097562,4.6838235294117645,195.10670731707316,203,0,1193.0,19.0
West End,8.224137931034482,4.673076923076923,227.25862068965517,81,0,583.0,60.0
West Roxbury,11.533333333333333,4.769230769230769,109.76666666666667,155,0,375.0,45.0
